Course Name,Company Offering,Skills Gained,Ratings,Number of Ratings
Introduction to Psychology,Yale University,Critical Thinking,4.9,28000
Search Engine Optimization (SEO),"University of California, Davis","Marketing, Search Engine Optimization, Digital Marketing, Strategy, Social Media, User Experience, Strategy and Operations, Customer Analysis, Media Strategy & Planning, User Research, Web Development, Market Analysis, Data Analysis, Market Research, Marketing Psychology, User Experience Design, Web Development Tools, Algorithms, Brand Management, Communication, Critical Thinking, Influencing, Audit",4.6,12000
Modern Project Management Certificate,SkillUp EdTech,"Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",4.6,202
Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,"Cloud Computing, Google Cloud Platform, Network Security, Cloud Platforms, Cloud Engineering, Computer Security Models, Security Engineering, Software Security, Network Architecture, System Security, Cloud Infrastructure, Computer Networking, Security Strategy, Cloud Management, Network Model, Software-Defined Networking, Security Software, Cloud Storage, Google App Engine, Leadership and Management, Kubernetes",4.7,49000
The Science of Well-Being,Yale University,,4.9,37000
DevOps on AWS,Amazon Web Services,"Amazon Web Services, Cloud Computing, Continuous Integration, DevOps, Devops Tools, Cloud Applications, Cloud Infrastructure, Cloud Management, Continuous Delivery, Cloud Platforms, Cloud Standards, Software Engineering, Software Testing, Leadership and Management, Cloud Storage",4.8,5000
Tools of the Trade: Linux and SQL,Google,"Linux, Databases, SQL",4.8,7000
Financial Engineering and Risk Management,Columbia University,"Finance, Risk Management, Probability & Statistics, Leadership and Management, Mathematics, Investment Management, Securities Sales, Securities Trading, Computer Programming",4.5,237
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,"Google Cloud Platform, Cloud Computing, Cloud Platforms, Big Data, Data Management, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Data Analysis, Apache, Python Programming, SQL, Cloud Storage, Feature Engineering, Statistical Programming, Data Warehousing, Tensorflow",4.6,18000
Developing Applications with Google Cloud,Google Cloud,"Cloud API, Cloud Computing, Cloud Platforms, Google Cloud Platform, Cloud Applications, Application Development, Cloud Infrastructure, Computer Architecture, Software Architecture, Distributed Computing Architecture, Cloud Storage, Google App Engine, Kubernetes",4.7,48000
Data Analysis and Presentation Skills: the PwC Approach,PwC,"Data Analysis, Business Analysis, Data Management, Data Visualization, Microsoft Excel, Data Analysis Software, Spreadsheet Software, Problem Solving, Statistical Analysis, Interactive Data Visualization, Financial Analysis, Statistical Visualization, Extract, Transform, Load, Data Model, Data Visualization Software, Exploratory Data Analysis, General Statistics, Big Data, Critical Thinking, Professional Development, Decision Making, Communication, Business Communication, Storytelling, Business Process Management, Customer Analysis, Forecasting, Visual Design, Planning",4.6,11000
Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,"Algebra, Linear Algebra, Machine Learning",4.5,2000
Digital Marketing,University of Illinois at Urbana-Champaign,"Digital Marketing, Marketing, Market Analysis, Media Strategy & Planning, Social Media, Data Analysis, Market Research, Advertising, Communication, Customer Relationship Management, Strategy, Business Analysis, Data Visualization, Exploratory Data Analysis, Data Management, Brand Management, Data Analysis Software, Decision Making, Marketing Design, Critical Thinking, Process Analysis, Business Communication, Business Intelligence, Business Transformation, User Research, Interactive Data Visualization, Collaboration, Innovation, Planning",4.7,22000
Process Data from Dirty to Clean,Google,"Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load, Microsoft Excel",4.8,15000
Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,"Cloud Computing, Cloud Platforms, Computer Networking, Google Cloud Platform, Network Architecture, Cloud Engineering, Cloud Infrastructure, Network Model, Network Security, Software-Defined Networking, Leadership and Management, Cloud Storage, Google App Engine, Kubernetes",4.7,48000
Crash Course on Python,Google,"Computer Programming, Data Structures, Problem Solving, Python Programming",4.8,36000
Networking in Google Cloud,Google Cloud,"Cloud Computing, Cloud Platforms, Computer Networking, Google Cloud Platform, Network Architecture, Network Model, Cloud Engineering, Cloud Infrastructure, Network Security, Software-Defined Networking, Leadership and Management, Cloud Storage, Google App Engine, Kubernetes",4.7,48000
Security Analyst Fundamentals,IBM,"Security Strategy, Computer Security Incident Management, Python Programming, Cyberattacks, DevOps, Mobile Security, Software Security, System Software, Computer Programming, Leadership and Management",4.7,8000
People and Soft Skills for Professional and Personal Success,IBM,"Leadership and Management, Communication, Problem Solving, Critical Thinking, Planning, Professional Development, Collaboration, People Management, Conflict Management",4.6,856
Writing in the Sciences,Stanford University,Writing,4.9,3000
Security in Google Cloud,Google Cloud,"Google Cloud Platform, Cloud Computing, Security Engineering, System Security, Cloud Platforms, Computer Security Models, Network Security, Security Software, Security Strategy, Software Security, Cloud Infrastructure, Cloud Management, Cloud Storage, Google App Engine, Kubernetes",4.7,48000
Getting started with Google Workspace,Google Cloud,"Collaboration, Google Cloud Platform, Communication, Cloud Applications, User Experience, Cloud Platforms, Leadership and Management, Cloud Computing, Business Communication, Organizational Development, Google App Engine, Cloud Storage, Data Management, Planning, Problem Solving, Business Analysis, Spreadsheet Software, Business Process Management, Other Cloud Platforms and Tools, Project Management, Writing, Professional Development, Cloud-Based Integration, Data Analysis, Strategy, Exploratory Data Analysis, Design and Product, Visual Design, Graphic Design",4.7,4000
Reinforcement Learning,University of Alberta,"Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Planning, Decision Making, Probability & Statistics",4.7,3000
OKR Certification: Leadership and Goal Setting,Measure What Matters,"Leadership and Management, Strategy, Strategy and Operations, Business Transformation, Communication, Organizational Development, Professional Development, Critical Thinking, Leadership Development, Performance Management, Planning",4.9,398
Medical Billing and Coding Fundamentals,MedCerts,"Communication, Leadership and Management",4.8,417
Microsoft Azure Data Engineering Associate (DP-203),Microsoft,"Data Management, Microsoft Azure, Extract, Transform, Load, Cloud Computing, Big Data, Data Warehousing, Cloud-Based Integration, Cloud Storage, Data Architecture, Cloud Engineering, Cloud Platforms, Databases, SQL, Data Analysis, Data Structures, Cloud Infrastructure, Distributed Computing Architecture, Cloud Management, Warehouse Management, Data Model, Leadership and Management, Continuous Delivery, Apache, Operational Analysis, Data Visualization",4.4,914
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,"Human Learning, Planning, Strategy, Mergers & Acquisitions",4.9,17000
Improve Your English Communication Skills,Georgia Institute of Technology,"Communication, Writing, Business Communication, Professional Development",4.7,26000
Certified in Cybersecurity,ISC2,"Computer Security Incident Management, Risk Management, Leadership and Management, Network Security, Cryptography, Cyberattacks, Operations Management",4.8,528
Business Strategy,University of Virginia,"Strategy, Strategy and Operations, Leadership and Management, Entrepreneurship, Marketing, Sales, Market Analysis, Business Development, Business Analysis, Business Transformation, Finance, Investment Management, Planning, Product Strategy, Business Design, Mergers & Acquisitions, Research and Design",4.8,4000
Data Science,Johns Hopkins University,"R Programming, Data Analysis, Statistical Programming, Statistical Analysis, Computer Programming, Exploratory Data Analysis, General Statistics, Problem Solving, Data Analysis Software, Probability & Statistics, Computer Programming Tools, Critical Thinking, Programming Principles, Statistical Tests, Data Management, Data Structures, Statistical Machine Learning, Basic Descriptive Statistics, Algorithms, Data Model, Human Learning, Machine Learning, Machine Learning Algorithms, Process Analysis, Correlation And Dependence, Data Visualization, Data Visualization Software, Plot (Graphics), Regression, Computer Graphics, Interactive Data Visualization, Applied Machine Learning, Big Data, Computational Thinking, Estimation, Extract, Transform, Load, Mathematics, Probability Distribution, Databases, Machine Learning Software, Communication, Computer Graphic Techniques, Knitr, Natural Language Processing, Visualization (Computer Graphics), User Experience, Interactive Design, Product Development, Web Development",4.5,50000
Introduction to Programming with Python and Java,University of Pennsylvania,"Computer Programming, Python Programming, Programming Principles, Java Programming, Computer Programming Tools, Data Analysis, Data Structures, Problem Solving, Computational Logic, Computational Thinking, Critical Thinking, Data Analysis Software, Data Management, Data Visualization, Exploratory Data Analysis, Software Engineering, Data Science",4.5,6000
(ISC)Â² Systems Security Certified Practitioner (SSCP),ISC2,"Security Engineering, System Security, Network Security, Software Security, Computer Security Incident Management, Leadership and Management, Security Software, Risk Management, Strategy and Operations, Algorithms, Cloud Computing, Cryptography, Cyberattacks, Operations Management, Security Strategy, Human Factors (Security), Software-Defined Networking, Cloud Applications, Software Testing, Communication, Financial Accounting",4.7,587
ChatGPT Advanced Data Analysis,Vanderbilt University,Data Analysis,4.9,259
Project Execution: Running the Project,Google,"Leadership and Management, Communication, Project Management, Strategy and Operations, Business Communication, Collaboration, Risk Management, Planning",4.8,7000
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,"Front-End Web Development, HTML and CSS, Javascript, Web Development",4.7,16000
Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,"Business Analysis, Data Analysis, Data Visualization, Spreadsheet Software, Data Model, Decision Making, Microsoft Excel, Process Analysis, Statistical Visualization",4.8,6000
Applied Data Science with R,IBM,"Data Analysis, R Programming, Computer Programming, Statistical Programming, Data Management, Data Visualization, Databases, Exploratory Data Analysis, Statistical Analysis, Data Analysis Software, Data Structures, Plot (Graphics), Statistical Visualization, Basic Descriptive Statistics, Interactive Data Visualization, SQL, Database Application, Extract, Transform, Load, General Statistics, Visualization (Computer Graphics), Programming Principles, Data Model, Database Administration, Database Design, Database Theory, Computer Programming Tools, Correlation And Dependence, Data Visualization Software, Visual Design, Data Science",4.5,883
Leadership Skills,IIMA - IIM Ahmedabad,"Communication, Leadership and Management, People Management",4.8,1000
Bookkeeping Basics,Intuit,"Accounting, General Accounting, Accounting Software, Finance",4.6,4000
Think like a CFO,IESE Business School,"Finance, Financial Accounting, Accounting, Investment Management, Financial Management, Financial Analysis, Leadership and Management, Risk Management, Business Analysis, Market Analysis, Management Accounting",4.8,8000
Generative Adversarial Networks (GANs),DeepLearning.AI,"Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Deep Learning, Machine Learning Software, Statistical Programming, Computer Vision, Computer Programming, Human Learning, General Statistics, Probability & Statistics, Problem Solving",4.7,2000
Pharmacy Technician Fundamentals,MedCerts,"Communication, Leadership and Management",4.8,282
Foundations of Management,IESE Business School,"Leadership and Management, Accounting, Financial Accounting, Communication, Customer Analysis, Design and Product, Human Resources, Market Analysis, Marketing, Strategy and Operations, Finance, Financial Management, Leadership Development, Marketing Design, Product Marketing, Strategy, Advertising, Employee Relations, Management Accounting, People Development, People Management, Business Psychology, Collaboration, Culture, Financial Analysis",4.8,7000
"NoSQL, Big Data, and Spark Foundations",IBM,"Apache, Big Data, Data Management, Distributed Computing Architecture, Databases, NoSQL, Extract, Transform, Load, SQL, Cloud Computing, Data Model, Machine Learning, Data Architecture, Database Administration, Database Design, Cloud Applications, Cloud Storage, IBM Cloud, Kubernetes, Data Warehousing, Process Analysis",4.5,541
Algorithms,Stanford University,"Algorithms, Theoretical Computer Science, Computer Programming, Problem Solving, Graph Theory, Mathematics, Data Structures, Computational Thinking, Mathematical Theory & Analysis, Critical Thinking, Computational Logic, Programming Principles, Software Engineering",4.8,8000
Fundamentals of Project Planning and Management,University of Virginia,"Project Management, Strategy and Operations, Leadership and Management, Planning",4.7,8000
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,"Algorithms, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Human Learning, Deep Learning, Machine Learning Software, Mathematics, Reinforcement Learning, Statistical Machine Learning",4.9,5000
Python 3 Programming,University of Michigan,"Python Programming, Computer Programming, Problem Solving",4.7,22000
Salesforce Sales Operations,Salesforce,"Sales, Customer Relationship Management, Salesforce, Sales Systems, Account Management, Business Process Management, Customer Success, Leadership and Management, Marketing, Operations Management, Strategy, Strategy and Operations, B2B Sales, Databases, Business Analysis, Data Visualization, Data Visualization Software",4.6,3000
UCI Project Management,"University of California, Irvine","Leadership and Management, Strategy and Operations, Communication, Project Management, Planning",4.7,277
Operating Systems and You: Becoming a Power User,Google,"Linux, Leadership and Management, Operating Systems",4.7,27000
Google Cloud Digital Leader Training,Google Cloud,"Cloud Infrastructure, Google Cloud Platform, Cloud Computing, Data Architecture, Cloud Platforms, DevOps, Google App Engine, Innovation, Leadership and Management, Machine Learning",4.7,9000
Data Structures and Algorithms,University of California San Diego,"Algorithms, Theoretical Computer Science, Computer Programming, Data Structures, Problem Solving, Mathematics, Computational Thinking, Computer Programming Tools, Computational Logic, Critical Thinking, Graph Theory, Programming Principles, Mathematical Theory & Analysis, C++ Programming, Algebra, Software Testing",4.6,16000
Achieving Personal and Professional Success,University of Pennsylvania,"Communication, Human Learning, Critical Thinking, Leadership Development, Leadership and Management, People Analysis, Professional Development, Decision Making, Emotional Intelligence, People Development, Planning, Adaptability, Negotiation, Influencing, Innovation",4.7,1000
Psychological First Aid,Johns Hopkins University,,4.8,19000
CybersÃ©curitÃ© Google,Google,"Cloud Computing, Communication, Linux, SQL",4.8,159
Excel Basics for Data Analysis,IBM,"Microsoft Excel, Spreadsheet Software, Data Analysis, Data Science",4.8,3000
Connected Leadership,Yale University,"Leadership and Management, Change Management, People Management, Process Analysis",4.8,336
Successful Negotiation: Essential Strategies and Skills,University of Michigan,"Contract Management, Negotiation, Communication, Decision Making, Strategy",4.8,19000
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,"Machine Learning, Google Cloud Platform, Applied Machine Learning, Human Learning, Cloud Computing, Machine Learning Software, Cloud Platforms, Machine Learning Algorithms, Tensorflow, Deep Learning, Feature Engineering, Artificial Neural Networks, Training, Exploratory Data Analysis, DevOps, Python Programming, Cloud-Based Integration, Data Analysis, Data Visualization, Probability & Statistics, Statistical Programming, Big Data, Regression, Statistical Visualization, SQL, Algorithms, Continuous Integration, Cloud API, Apache, Extract, Transform, Load, Docker (Software)",4.5,7000
Mathematics for Machine Learning,Imperial College London,"Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Computational Logic, Algorithms, Applied Machine Learning, Differential Equations, Applied Mathematics, Problem Solving, Statistical Analysis, Dimensionality Reduction, Regression",4.6,14000
Regulatory Compliance,University of Pennsylvania,"Regulations and Compliance, Critical Thinking, Leadership and Management, Organizational Development, Risk Management, Strategy and Operations, Strategy, Finance, Decision Making, Employee Relations, Problem Solving, Communication, Conflict Management, Operations Management, Brand Management, Data Management",4.8,1000
AI Fundamentals for Non-Data Scientists,University of Pennsylvania,"Machine Learning, Machine Learning Algorithms, Artificial Neural Networks, Data Analysis, Deep Learning, Human Learning, Big Data",4.8,293
Meta Marketing Analytics,Meta,"Marketing, Digital Marketing, Advertising, Data Analysis, Marketing Management, Media Strategy & Planning, Business Analysis, Statistical Analysis, Probability & Statistics, Market Analysis, Communication, General Statistics, Experiment, Regression, Statistical Tests, Market Research, Basic Descriptive Statistics, Probability Distribution, Brand Management, Forecasting, Research and Design, Data Visualization, Computer Programming, Data Management, Databases, Python Programming, SQL, Statistical Programming, Storytelling, Tableau Software",4.8,1000
"Influencing: Storytelling, Change Management and Governance",Macquarie University,"Leadership and Management, Communication, Business Psychology, Conflict Management, Strategy and Operations, Change Management, Influencing, Organizational Development, Risk Management, Marketing, Negotiation, Sales, Critical Thinking, Decision Making, Entrepreneurship, Human Resources, Probability & Statistics, Business Communication, Employee Relations, Data Analysis, People Analysis, Tensorflow, Storytelling",4.8,7000
Data Science: Foundations using R,Johns Hopkins University,"Data Analysis, R Programming, Statistical Programming, Exploratory Data Analysis, Computer Programming, Computer Programming Tools, Data Management, Programming Principles, Data Analysis Software, Data Structures, Statistical Analysis, Critical Thinking, Problem Solving, General Statistics, Process Analysis, Computational Thinking, Big Data, Data Visualization, Data Visualization Software, Databases, Extract, Transform, Load, Plot (Graphics), Communication, Computer Graphic Techniques, Computer Graphics, Interactive Data Visualization, Knitr, Visualization (Computer Graphics), User Experience",4.6,48000
Analyze Data to Answer Questions,Google,"Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software",4.6,10000
Project Launch,"University of California, Irvine","Leadership and Management, Project Management, Communication",4.7,239
AI for Medicine,DeepLearning.AI,"Machine Learning, Machine Learning Algorithms, Deep Learning, Python Programming, Artificial Neural Networks, Statistical Programming, Probability & Statistics, Natural Language Processing",4.7,3000
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,"Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,63000
Preparation for CompTIA A+ Certification,IBM,"Linux, Operating Systems",4.5,31
Generative AI: Introduction and Applications,IBM,,4.7,296
Cybersecurity Fundamentals,IBM,"System Security, Cyberattacks, Cryptography, Network Security, Security Engineering",4.8,499
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,"Negotiation, Game Theory, Strategy",4.9,8000
Programming for Everybody (Getting Started with Python),University of Michigan,"Algorithms, Computational Logic, Computational Thinking, Computer Programming, Computer Programming Tools, Critical Thinking, Problem Solving, Programming Principles, Python Programming, Theoretical Computer Science",4.8,226000
Tools for Data Science,IBM,"Data Science, R Programming, Cloud Computing, Computer Programming, IBM Cloud, Python Programming",4.5,28000
Software Product Management,University of Alberta,"Software Engineering, Agile Software Development, Product Management, Design and Product, Leadership and Management, Project Management, Planning, Application Development, Product Design, Communication, Entrepreneurship, Strategy and Operations, Business Analysis, Collaboration, User Experience, Scrum (Software Development), Supply Chain and Logistics",4.7,11000
TensorFlow: Advanced Techniques,DeepLearning.AI,"Deep Learning, Machine Learning, Tensorflow, Artificial Neural Networks, Applied Machine Learning, Python Programming, Machine Learning Algorithms, Human Learning, Computer Vision, Computer Programming, Network Model, Machine Learning Software, Network Architecture, Training, Visualization (Computer Graphics), Strategy",4.8,4000
Global Procurement and Sourcing,Rutgers the State University of New Jersey,"Procurement, Customer Relationship Management, Leadership and Management, Negotiation, Supplier Relationship Management",4.7,9000
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,"FinTech, Finance, BlockChain, Innovation, Investment Management, Financial Management, Financial Analysis, Risk Management, General Statistics, Payments, Algorithms, Behavioral Economics, Entrepreneurial Finance, Market Research, Cryptography, Human Learning, Machine Learning Algorithms, Machine Learning Software, Securities Trading, Applied Machine Learning, Machine Learning, Product Strategy, Business Transformation, Systems Design",4.6,5000
Microsoft Azure Fundamentals AZ-900 Exam Prep,Microsoft,"Cloud Computing, Microsoft Azure, Cloud Management, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Network Security, Cloud Engineering, Cloud Standards, DevOps, Leadership and Management, System Security, Cloud Storage, Machine Learning, Software As A Service, Cloud-Based Integration, Software Security, Data Management, Devops Tools, Regulations and Compliance, Security Software, Strategy and Operations, Database Administration, Databases",4.6,6000
"Assets, Threats, and Vulnerabilities",Google,"Cryptography, Linux",4.8,7000
Capstone: Applying Project Management in the Real World,Google,"Communication, Leadership and Management, Planning, Problem Solving, Project Management",4.8,7000
Organizational Analysis,Stanford University,"Leadership and Management, Organizational Development, Strategy, Strategy and Operations, Decision Making, Business Psychology, Change Management, Culture, Business Analysis, People Analysis",4.6,4000
Unilever Supply Chain Data Analyst,Unilever,"Data Analysis, Data Visualization, Leadership and Management, Problem Solving, Risk Management",4.4,12
Stanford Introduction to Food and Health,Stanford University,,4.7,31000
The Business of Health Care,University of Pennsylvania,"Leadership and Management, Finance, Decision Making, Performance Management, Strategy and Operations, Operations Management, Business Analysis, Financial Analysis, Financial Management, Business Psychology, Accounting, Accounts Payable and Receivable, Financial Accounting, General Accounting, Management Accounting, People Management, Account Management, People Analysis, Strategy, Business Process Management, Innovation, Leadership Development, Payments, Behavioral Economics, Problem Solving, Compensation, Correlation And Dependence, Insurance Sales, Research and Design, Risk Management",4.6,8000
Data Analysis with R Programming,Google,"R Programming, Data Analysis, Computer Programming, Data Visualization, SQL",4.8,5000
Genomic Data Science,Johns Hopkins University,"Bioinformatics, Computer Programming, Data Analysis, Python Programming, Computational Thinking, General Statistics, Exploratory Data Analysis, R Programming, Algorithms, Computer Programming Tools, Data Analysis Software, Biostatistics, Statistical Analysis, Programming Principles, Probability & Statistics, Statistical Tests, Data Structures, Operating Systems, Research and Design, Big Data, Computational Logic, Critical Thinking, Problem Solving, Statistical Programming, Experiment, Correlation And Dependence",4.5,2000
Entrepreneurship: Growing Your Business,University of Virginia,"Leadership and Management, Strategy and Operations, Strategy, Critical Thinking, Leadership Development, Decision Making, Business Development, Entrepreneurship, Human Learning, Business Analysis, Communication, Finance, Account Management, Accounting, Accounts Payable and Receivable, Financial Accounting, Financial Analysis, General Accounting, Generally Accepted Accounting Principles (GAAP), Organizational Development, Planning, Problem Solving, Business Transformation, Marketing, Sales, Business Design, Cash Management, Financial Management, Customer Success, Innovation",4.8,2000
Applied Data Science with Python,University of Michigan,"Python Programming, Data Analysis, Computer Programming, Machine Learning, Algorithms, Applied Machine Learning, Data Mining, Machine Learning Algorithms, Exploratory Data Analysis, Statistical Programming, Data Management, Extract, Transform, Load, Natural Language Processing, Critical Thinking, Statistical Machine Learning, Graph Theory, Network Analysis, Computer Programming Tools, Human Learning, Data Visualization, Network Model, Regression, Computer Networking, General Statistics, Network Architecture, Plot (Graphics), Visualization (Computer Graphics), Computer Graphics",4.5,34000
Human Resource Management: HR for People Managers,University of Minnesota,"Human Resources, Human Resources Operations, Employee Relations, Strategy and Operations, People Management, Leadership and Management, Communication, Strategy, Compensation, People Development, Performance Management, Organizational Development, Planning, Professional Development, Recruitment, Business Psychology, People Analysis, Talent Management, Benefits, Business Analysis, Culture",4.8,14000
Geographic Information Systems  (GIS),"University of California, Davis","ArcGIS, Data Analysis, Data Visualization, GIS Software, Spatial Analysis, Spatial Data Analysis, Data Visualization Software, Databases, Geovisualization, Problem Solving, Leadership and Management",4.8,9000
Mergers and Acquisitions,University of Illinois at Urbana-Champaign,"Mergers & Acquisitions, Finance, Accounting, Financial Analysis, Financial Accounting, Banking, Business Analysis, Investment Management, Financial Management, Data Analysis, Market Analysis, Corporate Accouting, Taxes",4.6,289
Project Management,University of Colorado Boulder,"Leadership and Management, Project Management, Planning, Strategy and Operations, Product Management, Agile Software Development, People Management, Strategy, Scrum (Software Development), Performance Management, Risk Management, Business Process Management, Business Communication, Decision Making, Adaptability, Organizational Development, Data Analysis, Estimation, Budget Management",4.8,585
Leading People and Teams,University of Michigan,"Human Resources, Leadership and Management, People Development, Strategy and Operations, Leadership Development, Talent Management, Business Psychology, People Analysis, Communication, People Management, Strategy, Human Learning, Human Resources Operations, Business Communication, Collaboration, Influencing, Performance Management, Conflict Management, Employee Relations, Business Analysis, Marketing, Recruitment",4.7,10000
Databases and SQL for Data Science with Python,IBM,"Python Programming, Computer Programming, Data Analysis, Data Management, Database Application, Database Theory, Databases, Professional Development, SQL, Cloud Computing, IBM Cloud",4.6,19000
IBM Mainframe Developer,IBM,"Computer Programming, Other Programming Languages, Software Engineering, Theoretical Computer Science, Computer Architecture",4.6,967
Fundamentals of Quantitative Modeling,University of Pennsylvania,"Business Analysis, Data Model, Finance, Forecasting, General Statistics, Mathematical Theory & Analysis, Probability & Statistics, Regression, Statistical Analysis, Linear Algebra",4.6,7000
Machine Learning with Python,IBM,"Machine Learning, Algorithms, Data Analysis, Human Learning, Python Programming, Regression",4.7,15000
Foundations of Data Science,Google,"Communication, Data Analysis, Planning, Project Management",4.7,7000
Foundations of Business Intelligence,Google,"Business Intelligence, Data Analysis, Leadership and Management, Strategy",4.7,912
Risk Management,New York Institute of Finance,"Leadership and Management, Risk Management, Finance, Probability & Statistics, Strategy, Financial Analysis, Strategy and Operations, Operations Management, Statistical Tests, Business Analysis, Business Process Management, Operational Analysis, Market Analysis, Financial Management, Regulations and Compliance, Banking, General Statistics, Operating Systems, Operations Research, Critical Thinking, Data Analysis, Probability Distribution",4.6,755
System Administration and IT Infrastructure Services,Google,"Cloud Computing, Leadership and Management",4.7,24000
Introduction to Machine Learning in Production,DeepLearning.AI,"Machine Learning, Applied Machine Learning, Leadership and Management",4.8,8000
Preparing  Data for Analysis with Microsoft Excel,Microsoft,"Data Analysis, Microsoft Excel, Power BI",4.7,5000
Introduction to Healthcare,Stanford University,,4.8,844
Private Equity and Venture Capital,UniversitÃ  Bocconi,"Business Analysis, Entrepreneurial Finance, Finance, Financial Management, Investment Management, Mergers & Acquisitions, Entrepreneurship, Leadership and Management, Risk Management, Strategy",4.8,9000
Artificial Intelligence in Marketing,University of Virginia,"Digital Marketing, Marketing, Algorithms, Customer Relationship Management, Market Analysis, Strategy, Big Data, Business Analysis, Customer Success, Leadership and Management",4.5,178
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,"Leadership and Management, Strategy and Operations, Strategy, Leadership Development, Decision Making, Entrepreneurship, Organizational Development, Business Analysis, Business Process Management, Change Management, Business Design, Business Development, Business Transformation, Communication, Culture, Performance Management, Problem Solving, Operations Management, People Management, Human Resources, Marketing, Operational Analysis, Sales, Conflict Management, Influencing, Negotiation, People Development, Business Psychology, Planning, Market Analysis, Research and Design",4.8,9000
Introduction to Cloud Computing,IBM,"Cloud Computing, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud",4.6,4000
From Likes to Leads: Interact with Customers Online,Google,"Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Social Media, Advertising, Data Analysis, Strategy",4.8,5000
Share Data Through the Art of Visualization,Google,"Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software",4.6,3000
Management of Fashion and Luxury Companies,UniversitÃ  Bocconi,"Brand Management, Leadership and Management, Marketing, Retail Sales, Strategy, Communication, Customer Analysis, Design and Product, Product Design, Product Development, Product Management",4.7,7000
Build Wireframes and Low-Fidelity Prototypes,Google,"Product Design, User Experience, User Research",4.9,2000
Generative AI: Prompt Engineering Basics,IBM,,4.8,191
Drug Development Product Management,University of California San Diego,"Strategy, Marketing",4.6,9000
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,"Computer Programming, C Programming Language Family, Data Structures, Algorithms, C++ Programming, Theoretical Computer Science, Programming Principles, Computational Thinking, Problem Solving, Computer Programming Tools, Critical Thinking, Computational Logic, Graph Theory",4.7,3000
The Strategy of Content Marketing,"University of California, Davis","Digital Marketing, Marketing, Writing, Strategy",4.5,4000
Introduction to Social Media Marketing,Meta,"Communication, Marketing, Digital Marketing, Social Media, Media Strategy & Planning, Advertising, Entrepreneurship, Marketing Management",4.8,13000
AI for Good,DeepLearning.AI,"Artificial Neural Networks, Computer Vision, Exploratory Data Analysis, Machine Learning, Natural Language Processing, Python Programming",4.8,204
Data Analysis with Python,IBM,"Python Programming, Data Analysis, Machine Learning, Computer Programming, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",4.7,18000
Google Professional Workspace Administrator,Google Cloud,"Leadership and Management, Account Management, Google Cloud Platform, Cloud Management, System Security, Cloud Applications, Cloud Platforms, Security Engineering, Operations Management, Software Security, Network Security, Cloud Computing, Data Management, Security Strategy, Cloud Infrastructure, Organizational Development, Other Cloud Platforms and Tools, Change Management, Cloud-Based Integration, Database Administration, Collaboration, User Experience, Strategy and Operations, Computer Security Incident Management, Planning, Strategy, Security Software, Project Management, Mobile Security, Accounting",4.7,9000
Game Theory,Stanford University,"Decision Making, Game Theory, General Statistics, Problem Solving, Critical Thinking, Mathematical Theory & Analysis",4.6,5000
Sound the Alarm: Detection and Response,Google,"Linux, Network Security, Computer Security Incident Management, Leadership and Management",4.8,3000
